"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.913173375E0,-1.300468474E1,2.472237569E0,6.863308536E0,1.491102907E1
1.923110375E0,-9.264371749E0,3.062584740E0,1.370156058E1,1.682084337E1
1.933047375E0,-5.566116607E0,2.337884633E0,2.170907917E1,2.253289767E1
1.942985375E0,6.299997720E-1,3.014049634E0,3.102559756E1,3.117802269E1
1.952922375E0,2.088536553E0,1.762681165E-1,3.090059813E1,3.097160022E1
1.962859375E0,1.210584286E0,-2.948479250E0,2.326358952E1,2.348092080E1
1.972797375E0,5.535965440E0,6.546023704E-1,1.621647025E1,1.714786649E1
1.982734375E0,8.667563404E0,4.977113711E0,9.674822899E0,1.391044623E1
1.992671375E0,8.054151306E0,7.284016287E0,5.220796423E0,1.204918926E1
2.002609375E0,2.532039382E0,8.431609542E0,3.618924213E0,9.518396680E0
2.012546375E0,-2.637888311E0,9.423599617E0,3.216712375E0,1.030096709E1
2.022483375E0,-5.101807923E0,8.698740174E0,4.397487994E0,1.100156468E1
2.032421375E0,-5.714487950E0,4.845977036E0,6.897866165E0,1.018427335E1
2.042358375E0,-4.496649170E0,-7.395342741E-2,9.418028975E0,1.043669453E1
2.052295375E0,-1.951666099E0,-4.674597776E0,1.052270893E1,1.167853878E1
2.062233375E0,1.527678060E0,-7.687607483E0,9.883773150E0,1.261436010E1
2.072170375E0,4.716043133E0,-7.963883160E0,7.659782923E0,1.201402398E1
2.082107375E0,6.207344495E0,-6.166779436E0,3.911904216E0,9.584533838E0
2.092044375E0,5.323241980E0,-4.441713409E0,-1.109389302E0,7.021144338E0
2.101982375E0,3.572725362E0,-3.128373810E0,-5.691662174E0,7.412564166E0
2.111919375E0,1.804780972E0,-1.522822532E0,-8.965364437E0,9.271137055E0
2.121856375E0,3.590755398E-1,-1.542765923E-1,-1.061362612E1,1.062081898E1
2.131794375E0,-6.360588031E-1,6.855999224E-1,-1.170469668E1,1.174199908E1
