"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.865321875E0,-3.810288013E-1,5.256325275E-2,-3.684383208E-1,5.326280496E-1
2.875259875E0,-4.359882430E-1,-2.315915474E-1,-1.059989101E-1,5.049318388E-1
2.885196875E0,-3.969883744E-1,-5.300802121E-1,8.912676930E-2,6.682277917E-1
2.895134875E0,-3.447550874E-1,-7.957933326E-1,2.562355149E-1,9.043228061E-1
2.905072875E0,-3.638133924E-1,-1.010106065E0,4.152604848E-1,1.151136707E0
2.915009875E0,-5.130974858E-1,-1.133863700E0,5.921416819E-1,1.378240796E0
2.924947875E0,-8.482802061E-1,-1.154377341E0,8.061983067E-1,1.643813269E0
2.934885875E0,-1.309815190E0,-1.072777838E0,1.036451719E0,1.985119716E0
2.944823875E0,-1.868150464E0,-9.268548708E-1,1.214003592E0,2.413058397E0
2.954760875E0,-2.433696232E0,-7.355718353E-1,1.254875629E0,2.835252390E0
2.964698875E0,-2.851848749E0,-5.237405147E-1,1.131526861E0,3.112506779E0
2.974636875E0,-3.028495473E0,-3.396780597E-1,8.934317476E-1,3.175749723E0
2.984573875E0,-2.917506841E0,-1.743069604E-1,5.568332702E-1,2.975280218E0
2.994511875E0,-2.584414062E0,-2.915684849E-2,8.703755915E-2,2.586043639E0
3.004449875E0,-2.186107287E0,9.805152074E-2,-4.374617779E-1,2.231603006E0
3.014386875E0,-1.798710393E0,1.578495334E-1,-9.165019369E-1,2.024907739E0
3.024324875E0,-1.521764478E0,2.450480372E-1,-1.305331253E0,2.019828049E0
3.034262875E0,-1.365332602E0,3.232931381E-1,-1.544221587E0,2.086449587E0
3.044200875E0,-1.321235533E0,4.198686755E-1,-1.622932711E0,2.134446913E0
3.054137875E0,-1.373202955E0,5.279848623E-1,-1.576832678E0,2.156584259E0
3.064075875E0,-1.485658214E0,6.309515525E-1,-1.440903041E0,2.163673211E0
3.074013875E0,-1.578895576E0,7.374004059E-1,-1.265628074E0,2.153714238E0
3.083950875E0,-1.627563414E0,8.089270560E-1,-1.107507668E0,2.128355911E0
3.093888875E0,-1.543928057E0,8.680517618E-1,-9.313181967E-1,2.001144995E0
3.103826875E0,-1.419101259E0,9.106545751E-1,-7.460760659E-1,1.843846424E0
3.113763875E0,-1.274460147E0,9.290316430E-1,-6.183331150E-1,1.694014256E0
